names,scores,logfoldchanges,pvals,pvals_adj
PRPS2,0.7257615,0.8205907,0.4679849992230284,1.0
PCF11,0.72555333,0.49518782,0.46811265471699837,1.0
ZBTB2,0.72535735,25.488882,0.46823281867970146,1.0
METTL3,0.72503895,1.7571282,0.4684281215452911,1.0
NUP160,0.724892,0.88646984,0.4685182765381575,1.0
MSL2,0.724843,1.3720006,0.4685483303367679,1.0
PLA2G4A,0.7241818,25.488882,0.4689541610468295,1.0
GDPD5,0.7241818,25.448202,0.4689541610468295,1.0
SEC24C,0.72365516,0.8970619,0.469277461572278,1.0
HLA-DMA,0.7223693,0.34028468,0.47006743406566553,1.0
ZNF189,0.7218305,25.493334,0.47039868846119137,1.0
PIGF,0.72123045,0.8304069,0.4707677370604012,1.0
WBP1,0.721059,1.4975808,0.4708732088621085,1.0
GALNT7,0.72075284,1.7973557,0.4710615837963743,1.0
TMEM18,0.72059363,0.52493036,0.4711595551916855,1.0
E2F6,0.7204834,1.7646571,0.4712273881265435,1.0
SUSD1,0.7202875,1.7661585,0.4713479933108903,1.0
VPS8,0.7198099,1.0565573,0.47164203975736896,1.0
CDC25B,0.71947926,25.530664,0.47184566960274965,1.0
TMEM192,0.71880573,1.0804276,0.4722606209895457,1.0
MYSM1,0.7183771,1.386462,0.4725247855917559,1.0
BTBD19,0.7183037,25.452776,0.4725700791209919,1.0
IRF3,0.71782607,0.7837035,0.4728645453260284,1.0
TRIOBP,0.71723825,0.6385516,0.473227103875994,1.0
STAMBPL1,0.7159524,25.564978,0.4740207336335458,1.0
FADS3,0.7159524,25.517595,0.4740207336335458,1.0
NRM,0.7159524,25.399313,0.4740207336335458,1.0
TGM2,0.7159034,0.6123237,0.4740509816054016,1.0
PDCD2,0.71518093,0.6262341,0.4744972623844266,1.0
PLA2G4C,0.71503395,1.6307614,0.4745880595887423,1.0
TRIM11,0.71494824,1.160084,0.47464102903079164,1.0
KDM2B,0.7147768,0.78023535,0.47474697765401097,1.0
CRYL1,0.7143727,1.4188395,0.4749967650655379,1.0
RBM10,0.7140175,0.72780526,0.4752163347544419,1.0
SCO2-1,0.7136012,25.470936,0.4754738321978699,1.0
ZNF592,0.71325827,1.1661578,0.47568594637216666,1.0
SNX19,0.71325827,0.80387306,0.47568594637216666,1.0
SWT1,0.7132093,2.47303,0.47571625263268136,1.0
ZCCHC7,0.71316034,1.4072607,0.4757465599519928,1.0
EHMT1,0.71293986,1.0525441,0.47588295599054453,1.0
DENND4C,0.71276844,0.5467856,0.47598905661887403,1.0
RRP8,0.7122541,1.7525932,0.4763074362956222,1.0
RPS6KB2,0.7122296,0.6390625,0.47632260014271033,1.0
PHF21A,0.7121684,0.8651615,0.4763605109176964,1.0
TAF3,0.7116908,1.2092842,0.4766562716943148,1.0
GLDN,0.71100503,1.6524038,0.47708112966692184,1.0
TMX4,0.71051514,0.4136863,0.47738472651499786,1.0
MAP3K5,0.7102947,1.8032273,0.47752137957760477,1.0
RAB43,0.7100743,25.413443,0.47765805403756734,1.0
TCOF1,0.7098049,1.7465258,0.47782512965307977,1.0
MTA2,0.7097804,2.4803133,0.4778403199299368,1.0
NEMF,0.7097682,0.36700264,0.47784791516739167,1.0
SMPD4,0.70933956,1.7096115,0.47811379006495225,1.0
CST7,0.7088987,26.191017,0.4783873457322604,1.0
PRKAG2-AS1,0.7077231,25.521963,0.4791172454684792,1.0
EIF2AK4,0.70755166,0.7652117,0.4792237399520779,1.0
EDC4,0.70654744,25.441313,0.47984775274355207,1.0
RMND5B,0.706278,1.7373796,0.4800152461749685,1.0
RP9,0.7062046,1.2126393,0.48006093173378195,1.0
KDM1B,0.70566577,0.7405334,0.4803960315936583,1.0
CMAS,0.7055555,0.56337935,0.48046459044795964,1.0
MSC,0.70537186,26.168304,0.4805788670527096,1.0
